Year,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole
1982,Tennessee,,0.375,0.371,,1259785,3357236,3393233,0.006,7869,10101,3303
1982,Texas,,0.312,0.292,,3191091,10228820,10910762,0.049,36149,177270,26274
1982,Utah,0.558,0.551,0.539,537207,530802,962724,984073,0.022,0,0,0
1982,Vermont,0.461,0.454,0.446,172084,169251,372982,379067,0.016,0,0,0
1982,Virginia,,0.357,0.347,,1415622,3960296,4076585,0.023,10079,14813,6487
1982,Washington,0.468,0.456,0.436,1404831,1368476,2999997,3138109,0.031,6264,60142,3047
1982,West Virginia,,0.404,0.401,,565314,1399303,1409116,0.004,1547,2711,610
1982,Wisconsin,,0.469,0.461,,1580344,3372875,3426394,0.01,4714,19603,3125
1982,Wyoming,0.5,0.49,0.483,172065,168555,344218,349060,0.009,702,1303,244
1980,Alabama,,0.492,0.487,,1341929,2726249,2753078,0.004,6543,10985,2547
1980,Alaska,0.602,0.587,0.571,162653,158445,270122,277261,0.02,822,1181,93
1980,Arizona,0.475,0.462,0.444,898183,873945,1890167,1968947,0.034,4372,12584,1093
1980,Arkansas,,0.52,0.515,,837582,1610104,1624917,0.005,2911,2400,2855
1980,California,0.562,0.55,0.489,8775459,8587063,15610966,17551451,0.108,24569,0,15253
1980,Colorado,0.591,0.572,0.559,1225549,1184415,2071959,2118092,0.02,2629,0,927
1980,Connecticut,0.647,0.639,0.61,1423403,1406285,2201356,2305904,0.038,4308,22981,1932
1980,Delaware,0.568,0.56,0.547,239136,235900,421344,430879,0.013,1474,3762,619
1980,District of Columbia,0.379,0.372,0.353,178434,175237,470956,496230,0.045,3145,0,0
1980,Florida,,0.52,0.487,,3686930,7088658,7575002,0.058,20735,38906,8823
1980,Georgia,,0.421,0.413,,1596695,3791652,3870251,0.009,12178,58450,3169
1980,Hawaii,0.492,0.469,0.436,318026,303287,646583,695906,0.069,985,0,0
1980,Idaho,0.704,0.69,0.679,446045,437431,633624,644004,0.015,817,0,0
1980,Illinois,0.619,0.604,0.578,4868890,4749721,7868300,8216218,0.041,11899,0,0
1980,Indiana,0.592,0.583,0.577,2275433,2242033,3846321,3885473,0.008,6683,0,0
1980,Iowa,0.635,0.636,0.629,1314258,1317661,2070935,2093321,0.007,2481,8815,639
1980,Kansas,,0.575,0.568,,979795,1704420,1726471,0.011,2494,0,0
1980,Kentucky,,0.505,0.499,,1294627,2562572,2592185,0.005,3588,12400,8120
1980,Louisiana,,0.54,0.532,,1548591,2868792,2910776,0.011,8889,0,0
1980,Maine,,0.654,0.646,,523011,799746,810240,0.013,0,0,0
1980,Maryland,0.525,0.52,0.5,1557709,1540496,2964704,3081409,0.027,7731,41661,6436
1980,Massachusetts,0.624,0.614,0.59,2566807,2524298,4110721,4281265,0.04,0,0,0
1980,Michigan,0.624,0.613,0.6,3978647,3909725,6374955,6514790,0.019,15124,0,0
1980,Minnesota,0.721,0.712,0.7,2079451,2051980,2882406,2929927,0.01,2001,27000,1534
1980,Mississippi,,0.524,0.519,,892620,1704163,1719825,0.004,3902,4864,2292
1980,Missouri,,0.595,0.588,,2099824,3529489,3571609,0.007,5726,17400,2395
1980,Montana,0.671,0.656,0.651,371976,363952,554636,559165,0.007,739,0,0
1980,Nebraska,0.584,0.575,0.567,651281,640854,1115142,1129653,0.008,1446,7980,292
1980,Nevada,0.519,0.433,0.411,297318,247885,573118,602463,0.04,1839,4989,1052
1980,New Hampshire,0.609,0.581,0.572,402415,383990,660560,671558,0.016,326,0,0
1980,New Jersey,0.585,0.581,0.549,2999879,2975684,5123773,5420255,0.049,5884,29239,8911
1980,New Mexico,0.532,0.523,0.509,464848,456971,873515,897946,0.023,1279,2794,884
1980,New York,0.53,0.517,0.48,6359218,6201959,12006100,12932357,0.068,21815,0,19652
1980,North Carolina,,0.441,0.434,,1855833,4203817,4272156,0.007,15513,36467,6496
1980,North Dakota,0.68,0.652,0.648,314525,301545,462223,465447,0.006,253,0,0
1980,Ohio,0.573,0.561,0.554,4378937,4283603,7637813,7732705,0.011,13489,0,0
1980,Oklahoma,0.542,0.532,0.522,1172303,1149708,2162051,2201257,0.011,4796,14360,2232
1980,Oregon,0.643,0.628,0.614,1209691,1181516,1880863,1925651,0.022,3177,0,0
1980,Pennsylvania,,0.526,0.52,,4561501,8664166,8774885,0.012,8171,0,0
1980,Rhode Island,0.627,0.616,0.586,423349,416072,675067,709692,0.043,813,5501,257
1980,South Carolina,0.424,0.411,0.404,922397,894071,2176721,2212354,0.006,7862,20589,3124
1980,South Dakota,,0.677,0.673,,327703,484328,486893,0.004,635,0,0
1980,Tennessee,,0.492,0.488,,1617616,3285608,3318036,0.005,7022,9130,3097
1980,Texas,,0.474,0.449,,4541636,9572904,10120613,0.043,29892,131996,17235
1980,Utah,0.666,0.66,0.646,609691,604222,915484,934767,0.021,0,0,0
1980,Vermont,0.593,0.587,0.578,215500,213299,363143,369147,0.016,0,0,0
1980,Virginia,,0.487,0.475,,1866032,3830887,3927383,0.02,8920,11463,4783
1980,Washington,0.606,0.596,0.574,1772904,1742394,2923670,3037193,0.029,4399,12527,14669
1980,West Virginia,0.535,0.532,0.528,742150,737715,1387231,1396595,0.005,1257,2650,475
1980,Wisconsin,,0.684,0.674,,2273221,3322053,3371087,0.01,3980,19088,2639
1980,Wyoming,0.554,0.541,0.534,181004,176713,326644,330784,0.009,534,940,154
