,academic_year,inst_name,city,state,zipcode,sector
52192,2008,Missouri Southern State University,Joplin,MO,64801-1595,1
52166,2008,Missouri Valley College,Marshall,MO,65340,2
52153,2008,Missouri Western State University,Saint Joseph,MO,64507,1
70790,2008,Mitchell College,New London,CT,6320,2
43972,2008,Mitchell Community College,Statesville,NC,28677-5293,4
34522,2008,Mitchell Technical Institute,Mitchell,SD,57301,4
52140,2008,Moberly Area Community College,Moberly,MO,65270-1304,4
54109,2008,Model College of Hair Design,Saint Cloud,MN,56301-4332,9
82452,2008,Modern Beauty Academy,Oxnard,CA,93030,9
51335,2008,Modern Beauty School Inc,Missoula,MT,59801,6
85495,2008,Modern Hairstyling Institute,Bayamon,PR,960,9
21486,2008,Modern Technology School,Fountain Valley,CA,92708-9821,9
46924,2008,Modern Welding School,Schenectady,NY,12304,9
78101,2008,Mohave Community College,Kingman,AZ,86409-1238,4
79884,2008,Mohawk Valley Community College-Utica Branch,Utica,NY,13501-5394,4
74113,2008,Moler Barber College,Oakland,CA,94609-2419,9
84342,2008,Moler Hollywood Beauty Academy,Cincinnati,OH,45213,6
46911,2008,Molloy College,Rockville Centre,NY,11571-5002,2
64878,2008,Monmouth College,Monmouth,IL,61462-1998,2
49584,2008,Monmouth University,West Long Branch,NJ,07764-1898,2
27127,2008,Monongalia County Technical Education Center,Morgantown,WV,26501,7
84130,2008,Monroe College-Main Campus,Bronx,NY,10468,3
81581,2008,Monroe Community College,Rochester,NY,14623,4
55190,2008,Monroe County Community College,Monroe,MI,48161-9746,4
83834,2008,Montana State University-Billings,Billings,MT,59101-0298,1
51291,2008,Montana State University-Northern,Havre,MT,59501,1
81217,2008,Montana Tech of the University of Montana,Butte,MT,59701-8997,1
55177,2008,Montcalm Community College,Sidney,MI,48885-9723,4
49571,2008,Montclair State University,Montclair,NJ,07043-1624,1
23208,2008,Montebello Beauty College,Montebello,CA,90640,9
74085,2008,Monterey Peninsula College,Monterey,CA,93940-4799,4
71353,2008,Montessori Education Center of the Rockies,Boulder,CO,80301,2
8950,2008,Montessori Institute of Milwaukee,Milwaukee,WI,53207-3074,2
58325,2008,Montgomery Beauty School,Silver Spring,MD,20901,9
80184,2008,Montgomery College,Rockville,MD,20850,4
43959,2008,Montgomery Community College,Troy,NC,27371,4
43946,2008,Montreat College,Montreat,NC,28757-1267,2
56861,2008,Montserrat College of Art,Beverly,MA,1915,2
37055,2008,Moore College of Art and Design,Philadelphia,PA,19103-1179,2
24399,2008,Moore Norman Technology Center,Norman,OK,73069-8399,7
64852,2008,Moraine Valley Community College,Palos Hills,IL,60465-0937,4
80834,2008,Moravian College and Moravian Theological Seminary,Bethlehem,PA,18018-6650,2
60343,2008,Morehead State University,Morehead,KY,40351,1
67212,2008,Morehouse College,Atlanta,GA,30314,2
67199,2008,Morehouse School of Medicine,Atlanta,GA,30310-1495,2
71552,2008,Morgan Community College,Fort  Morgan,CO,80701,4
58312,2008,Morgan State University,Baltimore,MD,21251-0001,1
27114,2008,Morgantown Beauty College Inc,Morgantown,WV,26505-5430,6
62109,2008,Morningside College,Sioux City,IA,51106-1751,2
35030,2008,Morris College,Sumter,SC,29150-3599,2
64836,2008,Morrison Institute of Technology,Morrison,IL,61270-2959,5
83886,2008,Morrison University,Reno,NV,89521,3
45753,2008,Morrisville State College,Morrisville,NY,13408,1
64823,2008,Morton College,Cicero,IL,60804-4398,4
33437,2008,Motlow State Community College,Tullahoma,TN,37388,4
55897,2008,Mott Community College,Flint,MI,48503,4
67181,2008,Moultrie Technical College,Moultrie,GA,31788,4
37042,2008,Mount Aloysius College,Cresson,PA,16630-1999,2
39373,2008,Mount Angel Seminary,Saint Benedict,OR,97373-0505,2
41456,2008,Mount Carmel College of Nursing,Columbus,OH,43222-1504,2
56848,2008,Mount Holyoke College,South Hadley,MA,01075-1489,2
56835,2008,Mount Ida College,Newton,MA,2459,2
34509,2008,Mount Marty College,Yankton,SD,57078-3724,2
26443,2008,Mount Mary College,Milwaukee,WI,53222-4597,2
79700,2008,Mount Olive College,Mount Olive,NC,28365-0919,2
46895,2008,Mount Saint Mary College,Newburgh,NY,12550,2
46856,2008,Mount Sinai School of Medicine,New York,NY,10029-6574,2
41430,2008,Mount Vernon Nazarene University,Mount Vernon,OH,43050-9500,2
56822,2008,Mount Wachusett Community College,Gardner,MA,01440-1000,4
29075,2008,Mountain Empire Community College,Big Stone Gap,VA,24219,4
27097,2008,Mountain State College,Parkersburg,WV,26101-3993,6
27364,2008,Mountain State University,Beckley,WV,25801-9003,2
31380,2008,Mountain View College,Dallas,TX,75211-6599,4
13049,2008,Mountaineer Beauty College,Saint Albans,WV,25177,6
49555,2008,Mountainside Hospital School of Nursing,Montclair,NJ,7042,6
55164,2008,Mr Bela's School of Cosmetology Inc,Warren,MI,48092,9
14367,2008,Mr Bernards School of Hair Fashion Inc,Lewiston,ME,4240,9
60330,2008,Mr Jim's College of Cosmetology,Owensboro,KY,42301,6
66429,2008,Mr Juans College of Hair Design,Twin Falls,ID,83301,6
20621,2008,Mr Waynes School of Unisex Hair Design,Cookeville,TN,38501,9
24288,2008,Ms Roberts Academy of Beauty Culture-Villa Park,Villa Park,IL,60181,9
19621,2008,Mt Diablo Adult Education,Concord,CA,94518,7
39360,2008,Mt Hood Community College,Gresham,OR,97030,4
17980,2008,Mt Sierra College,Monrovia,CA,91016,3
37029,2008,Muhlenberg College,Allentown,PA,18104,2
40227,2008,Murray State College,Tishomingo,OK,73460,4
60317,2008,Murray State University,Murray,KY,42071-3318,1
74016,2008,Musicians Institute,Hollywood,CA,90028,3
55147,2008,Muskegon Community College,Muskegon,MI,49442-1432,4
16976,2008,Myotherapy College of Utah,Salt Lake City,UT,84106,9
9273,2008,Myotherapy Institute,Lincoln,NE,68516,6
74000,2008,Napa Valley College,Napa,CA,94558-6236,4
71539,2008,Naropa University,Boulder,CO,80302-6697,2
43917,2008,Nash Community College,Rocky Mount,NC,27804,4
26426,2008,Nashotah House,Nashotah,WI,53058-9793,2
33395,2008,Nashville College of Medical Careers,Madison,TN,37115,9
46840,2008,Nassau Community College,Garden City,NY,11530-6793,4
71526,2008,National American University-Colorado Springs,Colorado Springs,CO,80918-4001,3
71513,2008,National American University-Denver,Denver,CO,80222-3308,3
24560,2008,National American University-Independence,Independence,MO,64057,3
